HELD AT HARVARD,HARVARD PERMALINK,Catalog Link,Judaica - Verified,268,ISBN,Title,Author,Series,Publisher,Year Published,Date_Published,Pages_Thickness,Magazine,Volume_number,Category,Category_2,Request_Number,Library_ID,DOI,Persistent_Identifier,Report_Number,ISBN,FileName,University_Degree,Searched,Found Count: 268,ISSN,Duplication,Searching Category,URL
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990087967410203941/catalog,#REF!,Judaica - New,"If the Jews get back on their feet, the world will get back on its feet",4-8355-1425-4,ユダヤ人が立ち直れば世界が見事に立ち直る,梶原和義 著,,文芸社,2001,2001.4,259p ; 20cm,,,図書,EC134 316.88,EC134-G38,2976512,,,,4-8355-1425-4,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/023785284
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990087730620203941/catalog,#REF!,Judaica - New,Illustrated structure of Jewish society : The real figure of modern Jews is here : Understand in 2 hours,4-8061-1442-1,図解ユダヤ社会のしくみ : 現代ユダヤ人の本当の姿がここにある : 2時間でわかる,滝川義人 著,,中経出版,2001,2001.3,207p ; 21cm,,,図書,EC134 316.88,EC134-G37,2966327,,,,4-8061-1442-1,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000011227168
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178192203941/catalog,#REF!,Judaica - New,Intercultural Trade and the Diaspora: Early Modern Livorno and Sephardic Merchants,978-4-86285-299-1,異文化間交易とディアスポラ : 近世リヴォルノとセファルディム商人,"フランチェスカ・トリヴェッラート 著 , 和栗珠里, 藤内哲也, 飯田巳貴 訳",,知泉書館,2019,2019.9,568p ; 23cm,,,図書,DE341 678.23,DE341-M3,29919935,,,,978-4-86285-299-1,ユダヤ1501-1600,,Red,,,1,1,http://id.ndl.go.jp/bib/025441890
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99156366572303941/catalog,,Judaica - New,Introduction to Israeli Political Studies = INTRODUCTION TO ISRAELI POLITICAL HISTORY,978-4-409-51084-1,イスラエル政治研究序説 = INTRODUCTION TO ISRAELI POLITICAL HISTORY : 建国期の閣議議事録一九四八年,森まり子 著,,人文書院,2020,2020.3,524p ; 22cm,,,図書,GE761 312.279,GE761-M14,30337234,,,,978-4-409-51084-1,イスラエル 201-300,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102614120203941/catalog,#REF!,Judaica - New,"Islamic and Jewish World Heritage best 99 : ""World Heritage"" promenade",4-04-853979-5,イスラームとユダヤの世界遺産best 99 : 「世界遺産」の散歩道,今公三 著・写真,,角川書店,2006,2006.6,192p ; 26cm,,,図書,"K275 , EG325 709.27",K275-H198,8225693,,,,4-04-853979-5,ユダヤ701-800,,Red,,,1,1,http://id.ndl.go.jp/bib/023880284
Not Found,No Permalink Found,#REF!,Judaica - New,Japan and Judea/The Hidden Bond of the Soul: Jewish Wisdom Awakening the Spiritual Power of the Japanese!,978-4-19-862281-7,日本とユダヤ/魂の隠された絆 : 日本人の霊力を呼び覚ますユダヤ人の叡智!,"中丸薫, ラビ・マーヴィン・トケイヤー 著",,徳間書店,2007,2007.1,400p ; 20cm,,,図書,GB71 210.04,GB71-H293,8430909,,,,978-4-19-862281-7,ユダヤ101-200,,Red,,,1,1,http://id.ndl.go.jp/bib/024101462
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99156366574003941/catalog,#REF!,Judaica - New,Jewish Community: Sources and Spaces of Jewish Literature,978-4-7791-2705-2,ジューイッシュ・コミュニティ = Jewish Community : ユダヤ系文学の源泉と空間,"広瀬佳司, 伊達雅彦 編",,彩流社,2020,2020.11,"224,9p ; 20cm",,,図書,KS183 930.29,KS183-M12,30760008,,,,978-4-7791-2705-2,ユダヤ701-800,,Red,,,1,1,http://id.ndl.go.jp/bib/000007411784
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178191303941/catalog,#REF!,Judaica - New,Jewish Cultural Renaissance in the Weimar Period,978-4-7642-7347-4,ワイマール時代のユダヤ文化ルネサンス,"M.ブレンナー 著 , 上田和夫 訳",,教文館,2014,2014.8,"348,50p ; 22cm",,,図書,EC134 316.88,EC134-L10,25769261,,,,978-4-7642-7347-4,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/031823683
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178190103941/catalog,#REF!,Judaica - New,Jewish Ethnic History in the Time of Jesus Christ 1,978-4-7642-7351-1,イエス・キリスト時代のユダヤ民族史 1,"E.シューラー 著 , 小河陽 訳",,教文館,2012,2012.12,399p ; 22cm,,,図書,GE761 227.9,GE761-L2,24120574,,,,978-4-7642-7351-1,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000003067966
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178190103941/catalog,#REF!,Judaica - New,Jewish Ethnic History in the Time of Jesus Christ 2,978-4-7642-7352-8,イエス・キリスト時代のユダヤ民族史 2,"E.シューラー 著 , 小河陽 訳",,教文館,2012,2012.12,436p ; 22cm,,,図書,GE761 227.9,GE761-L3,24120578,,,,978-4-7642-7352-8,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000009917170
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178190103941/catalog,#REF!,Judaica - New,Jewish Ethnic History in the Time of Jesus Christ 3,978-4-7642-7353-5,イエス・キリスト時代のユダヤ民族史 3,"E.シューラー 著 , 小河陽, 安達かおり, 馬場幸栄 訳",,教文館,2014,2014.1,416p ; 22cm,,,図書,GE761 227.9,GE761-L8,25130279,,,,978-4-7642-7353-5,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000011277842
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178190103941/catalog,#REF!,Judaica - New,Jewish Ethnic History in the Time of Jesus Christ 4,978-4-7642-7354-2,イエス・キリスト時代のユダヤ民族史 4,"E.シューラー 著 , 上村静, 大庭昭博, 小河陽 訳",,教文館,2015,2015.2,372p ; 22cm,,,図書,GE761 227.9,GE761-L15,26159012,,,,978-4-7642-7354-2,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/029438856
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/990136200340203941/catalog,#REF!,Judaica - New,jewish jokes salty taste of life,978-4-89586-033-8,ユダヤ・ジョーク人生の塩味,ミルトス編集部 編訳,,ミルトス,2010,2010.2,254p ; 19cm,,,図書,KM16 929.737,KM16-J2,10747743,,,,978-4-89586-033-8,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/031853869
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102630360203941/catalog,#REF!,Judaica - New,Jewish law of success,4-7952-0231-1,ユダヤ人の成功法則,倉原忠夫 著,,ウィーグル,2004,2004.7,179p ; 19cm,,,図書,US51 159,US51-H1283,7407734,,,,4-7952-0231-1,ユダヤ101-200,,Red,,,1,1,http://id.ndl.go.jp/bib/023818087
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102634480203941/catalog,#REF!,Judaica - New,Jewish money-making wisdom: Think like a Jew!,4-478-21053-5,ユダヤ人金儲けの知恵 : ユダヤ人のように考えろ!,烏賀陽正弘 著,,ダイヤモンド社,2004,2004.4,250p ; 20cm,,,図書,US51 159,US51-H1081,7321321,,,,4-478-21053-5,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000011119486
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102628770203941/catalog,#REF!,Judaica - New,Jewish recovery is a prerequisite for perfection of the planet,4-89008-352-9,ユダヤ人の回復は地球完成の必須条件,梶原和義 著,,JDC出版,2004,2004.11,334p ; 19cm,,,図書,EC134 316.88,EC134-H26,7567695,,,,4-89008-352-9,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000002905345
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178309203941/catalog,,Judaica - New,Jewish Songs Resonating in Postwar Germany = Jiddische Lieder im Folkrevival in Deutschland nach 1945 : Yiddish Folk Revival,978-4-7872-7423-6,戦後ドイツに響くユダヤの歌 = Jiddische Lieder im Folkrevival in Deutschland nach 1945 : イディッシュ民謡復興,"阪井葉子 著 , 三谷研爾 編",,青弓社,2019,2019.8,254p ; 20cm,,,図書,KD331 767.534,KD331-M3,29873505,,,,978-4-7872-7423-6,イディッシュ 1-45,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193306803941/catalog,#REF!,Judaica - New,Jews and economic life,978-4-06-292303-3,ユダヤ人と経済生活,"ヴェルナー・ゾンバルト [著] , 金森誠也 訳",講談社学術文庫 ; 2303,講談社,2015,2015.6,397p ; 15cm,,,図書,DC15 332.06,DC15-L9,26413902,,,,978-4-06-292303-3,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/031457516
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178309603941/catalog,#REF!,Judaica - New,Judaism in the Monotheistic World : Collection of Papers Dedicated to Dr. Yutaka Ichikawa,978-4-86376-078-3,一神教世界の中のユダヤ教 : 市川裕先生献呈論文集,"勝又悦子, 柴田大輔, 志田雅宏, 髙井啓介 編",,リトン,2020,2020.1,423p ; 22cm,,,図書,HR11 199.04,HR11-M2,30221882,,,,978-4-86376-078-3,ユダヤ401-500,,Red,,,1,1,http://id.ndl.go.jp/bib/000009785365
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178192003941/catalog,#REF!,Judaica - New,Karl Schmidt and the Five Jewish Jurists,978-4-7923-0600-7,カール・シュミットと五人のユダヤ人法学者,初宿正典 著,,成文堂,2016,2016.1,568p ; 22cm,,,図書,A124 321.234,A124-L13,27637663,,,,978-4-7923-0600-7,ユダヤ701-800,,Red,,,1,1,http://id.ndl.go.jp/bib/030647668
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99156366572103941/catalog,#REF!,Judaica - New,Kyoto was founded by the Jewish Hata clan.,978-4-594-08739-5,京都はユダヤ人秦氏がつくった,田中英道 著,,育鵬社,2021,2021.2,190p ; 19cm,,,図書,GB176 210.36,GB176-M28,31228399,,,,978-4-594-08739-5,ユダヤ401-500,,Red,,,1,1,http://id.ndl.go.jp/bib/000011105670
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990111401640203941/catalog,#REF!,Judaica - New,Levinas and Existential Thought,978-4-650-00302-4,レヴィナスと実存思想,,実存思想論集 ; 22,理想社,2007,2007.6,"219, 8p ; 22cm",,,図書,HD135 135.5,HD135-H125,8595786,,,,978-4-650-00302-4,ユダヤ1701-1800,,Red,,,1,1,http://id.ndl.go.jp/bib/028173072
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178307103941/catalog,#REF!,Judaica - New,Marriage in Jewish Literature,978-4-7791-2082-4,"ユダヤ系文学と「結婚」 = ""Marriage"" in Jewish Literature","広瀬佳司, 佐川和茂, 伊達雅彦 編著",,彩流社,2015,2015.4,"264,22p ; 20cm",,,図書,KS74 930.27,KS74-L77,26269970,,,,978-4-7791-2082-4,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000007976385
Not Found,No Permalink Found,#REF!,Judaica - New,Military Modeling Manual = MILITARY MODELING MANUAL Israel Tank Edition,978-4-7986-1770-1,ミリタリーモデリングマニュアル = MILITARY MODELING MANUAL イスラエル戦車編,,ホビージャパンMOOK ; 886,ホビージャパン,2018,2018.9,141p ; 30cm,,,図書,Y94 507.9,Y94-L47448,29209082,,,,978-4-7986-1770-1,イスラエル 201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000004211784
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193307503941/catalog,#REF!,Judaica - New,Moses and Monotheism,978-4-334-75419-8,モーセと一神教,"フロイト 著 , 中山元 訳",光文社古典新訳文庫 ; KBフ1-4,光文社,2020,2020.2,344p ; 16cm,,,図書,HP16 193.1,HP16-M8,30199298,,,,978-4-334-75419-8,ユダヤ1501-1600,,Red,,,1,1,http://id.ndl.go.jp/bib/000007599344
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193307003941/catalog,#REF!,Judaica - New,On the Jewish Question/Introduction to Hegel's Legal Philosophy Critique,978-4-334-75298-9,ユダヤ人問題に寄せて/ヘーゲル法哲学批判序説,"マルクス 著 , 中山元 訳",光文社古典新訳文庫 ; KBマ1-2,光文社,2014,2014.9,562p ; 16cm,,,図書,"A65 , HD58 316.88",A65-L4,25726355,,,,978-4-334-75298-9,ユダヤ701-800,,Red,,,1,1,http://id.ndl.go.jp/bib/000007642515
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990097043080203941/catalog,#REF!,Judaica - New,Pacific War and Jewish Refugees in Shanghai,4-588-37703-5,太平洋戦争と上海のユダヤ難民,丸山直起 著,,法政大学出版局,2005,2005.2,"312, 32p ; 22cm",,,図書,GA82 209.74,GA82-H30,7677170,,,,4-588-37703-5,ユダヤ101-200,,Red,,,1,1,http://id.ndl.go.jp/bib/000008532456
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102618330203941/catalog,#REF!,Judaica - New,Private version of Jewish culture,4-16-660519-4,私家版・ユダヤ文化論,内田樹 著,文春新書,文藝春秋,2006,2006.7,241p ; 18cm,,,図書,A65 316.88,A65-H11,8245077,,,,4-16-660519-4,ユダヤ101-200,,Red,,,1,1,http://id.ndl.go.jp/bib/000003680004
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178188503941/catalog,#REF!,Judaica - New,Questioning the Background of the Establishment of the Old Testament Documents : The Jewish Community Seeking Coexistence Enlarged and Revised Edition,978-4-8184-1021-3,旧約文書の成立背景を問う : 共存を求めるユダヤ共同体 増補改訂版,魯恩碩 著,,日本キリスト教団出版局,2019,2019.3,416p ; 22cm,,,図書,HP16 193.1,HP16-M6,29554675,,,,978-4-8184-1021-3,ユダヤ401-500,,Red,,,1,1,http://id.ndl.go.jp/bib/000007731168
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990121698200203941/catalog,#REF!,Judaica - New,"Religious Perversions: Judaism, Jesus, and Christianity",978-4-00-023453-5,宗教の倒錯 : ユダヤ教・イエス・キリスト教,上村静 著,,岩波書店,2008,2008.9,328p ; 20cm,,,図書,HP12 191,HP12-J11,9633054,,,,978-4-00-023453-5,ユダヤ101-200,,Red,,,1,1,http://id.ndl.go.jp/bib/023609257
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990142634460203941/catalog,#REF!,Judaica - New,"Save the lives of 6,000 people! Diplomat Chiune Sugihara",978-4-569-78410-6,六千人の命を救え!外交官・杉原千畝,白石仁章 著,PHP心のノンフィクション,PHP研究所,2014,2014.8,159p ; 22cm,,,図書,Y3 289.1,Y3-N14-L108,25583607,,,,978-4-569-78410-6,ユダヤ1401-1500,,Red,,,1,1,http://id.ndl.go.jp/bib/028611055
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102622050203941/catalog,#REF!,Judaica - New,Shanghai diary of a Jewish girl who escaped from the Nazis,4-396-68117-8,ナチスから逃れたユダヤ人少女の上海日記,"ウルスラ・ベーコン 著 , 和田まゆ子 訳",,祥伝社,2006,2006.11,369p ; 20cm,,,図書,GA87 936,GA87-H19,8349045,,,,4-396-68117-8,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/030117094
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102640020203941/catalog,#REF!,Judaica - New,Spanish Jewish Ethnic History: The Road from Tolerance to Intolerance,4-88708-306-8,スペイン・ユダヤ民族史 : 寛容から不寛容へいたる道,近藤仁之 著,人間科学叢書 ; 37,刀水書房,2004,2004.1,218p ; 22cm,,,図書,EC134 316.88,EC134-H19,4360832,,,,4-88708-306-8,ユダヤ401-500,,Red,,,1,1,http://id.ndl.go.jp/bib/000010002377
Not Found,No Permalink Found,#REF!,Judaica - New,"State and Existence = L'ÉTAT ET L'EXISTENCE : Beyond the ""Jewish State""",978-4-7791-2797-7,国家と実存 = L'ÉTAT ET L'EXISTENCE : 「ユダヤ人国家」の彼方へ,立川健二 著,,彩流社,2022,2022.1,"300,5p ; 19cm",,,図書,A12 311,A12-M78,31932836,,,,978-4-7791-2797-7,ユダヤ701-800,,Red,,,1,1,http://id.ndl.go.jp/bib/000010880197
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193300103941/catalog,#REF!,Judaica - New,"Sugihara Visa Across the Pacific = THE SUGIHARA VISA,ACROSS THE PACIFIC : From Kaunas to Vancouver",978-4-87797-282-0,"太平洋を渡った杉原ビザ = THE SUGIHARA VISA,ACROSS THE PACIFIC : カウナスからバンクーバーまで","高橋文 編著 , バンクーバー新報 企画・編",,岐阜新聞情報社,2020,2020.3,324p ; 21cm,,,図書,EC134 316.88,EC134-M3,30264767,,,,978-4-87797-282-0,ユダヤ1601-1700,,Red,,,1,1,http://id.ndl.go.jp/bib/000007659570
Not Found,No Permalink Found,,Judaica - New,TALPIOT : Israeli elite training program,978-4-532-32334-9,タルピオット = TALPIOT : イスラエル式エリート養成プログラム,"石倉洋子, ナアマ・ルベンチック 著 , トメル・シュスマン 監修",,日本経済新聞出版社,2020,2020.3,207p ; 19cm,,,図書,DH231 335.13,DH231-M163,30301406,,,,978-4-532-32334-9,イスラエル 101-200,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990132203340203941/catalog,#REF!,Judaica - New,Teachings of a Jewish Millionaire 2,4-479-30030-9,ユダヤ人大富豪の教え 2,本田健 著,だいわ文庫,大和書房,2006,2006.6,275p ; 16cm,,,図書,US51 159,US51-H2716,8205651,,,,4-479-30030-9,ユダヤ501-600,,Red,,,1,1,http://id.ndl.go.jp/bib/023884247
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178190403941/catalog,#REF!,Judaica - New,The Light of German-Jewish Thought,978-4-00-029162-0,ドイツ・ユダヤ思想の光芒,佐藤貴史 著,岩波現代全書 ; 062,岩波書店,2015,2015.5,270p ; 19cm,,,図書,HB181 139.7,HB181-L6,26352901,,,,978-4-00-029162-0,ユダヤ201-300,,Red,,,1,2,http://id.ndl.go.jp/bib/000010584432
